id,bloco,demanda,pagina,estado_documental,estado_tramitacao,providencia,documento,status
D01-fc0094,COMUM A TODAS AS LICITAÇÕES/OBJETO,"AUSÊNCIA NO OFÍCIO DE ENCAMINHAMENTO DA PRESTAÇÃO DE CONTA, DO Nº DA NOTA DE EMPENHO E ANO.(PAG. 2) .",2,não examinado,identificado,,,pendente
D02-bcac2b,COMUM A TODAS AS LICITAÇÕES/OBJETO,"RETIFICAR O NÚMERO DA LEI QUE CRIOU O PROGRAMA ESCOLA NOTA 10, NO OFÍCIO DE ENCAMINHAMENTO DA PRESTAÇÃO DE CONTA (PAG. 2) .",2,não examinado,identificado,,,pendente
D03-5de9cf,COMUM A TODAS AS LICITAÇÕES/OBJETO,"A APLICAÇÃO DOS RECURSOS FINANCEIROS TRANSFERIDOS, DEVEM SER REDISTRIBUÍDOS NA FORMA DO CAPÍTULO 5 DO MANUAL MAIS PAIC QUE ORIENTA A ELABORAÇÃO, EXECUÇÃO E PRESTAÇÃO DE CONTAS DO PLANO DOS RECURSOS DO PRÊMIO ESCOLA NOTA 10.(PAG. 16). TAIS RECURSOS ESTÃO DESCRITOS DE FORMA DIFERENTE NO OFÍCIO DE ENCAMINHAMENTO DA PRESTAÇÃO DE CONSTAS (PAG. 2) . .",2,não examinado,identificado,,,pendente
D04-c0b6dc,COMUM A TODAS AS LICITAÇÕES/OBJETO,OS SIGNATÁRIOS DA DECLARAÇÃO DE REGULARIDADE NÃO ESTÃO INFORMADOS A QUE SEGMENTOS REPRESENTAM NA ATA (PAG. 6) E NA PRÓPRIA DECLARAÇÃO (PAG. 4),6,não examinado,identificado,,,pendente
D05-0a4000,COMUM A TODAS AS LICITAÇÕES/OBJETO,AUSÊNCIA DO REPRESENTANTE DOS ALUNOS NA DECLARAÇÃO DE REGULARIDADE E NA ATA DE ELEIÇÃO E POSSE DOS MEMBROS DO CONSELHO ESCOLAR (PAG. 4 E 6) .,4E6,não examinado,identificado,,,pendente
D06-744a0b,COMUM A TODAS AS LICITAÇÕES/OBJETO,"AUSÊNCIA DO CARIMBO COM A IDENTIFICAÇÃO DO ORDENADOR DE DESPESA, NO RELATÓRIO DE EXECUÇÃO FÍSICO-FINANCEIRO (PAG. 279), E NA EXECUÇÃO DA RECEITA E DESPESA (PAG. 280) .",279,não examinado,identificado,,,pendente
D07-78b097,COMUM A TODAS AS LICITAÇÕES/OBJETO,"AUSÊNCIA DO NÚMERO DO TOMBAMENTO, NA RELAÇÃO DE BENS (PAG. 281)",281,não examinado,identificado,,,pendente
D08-93087f,COMUM A TODAS AS LICITAÇÕES/OBJETO,"AUSÊNCIA DO CARIMBO COMA IDENTIFICAÇÃO DO ORDENADOR DE DESPESA, NA RELAÇÃ AÇÃO DE PAGAMENTO EFETUADOS (PAG. 283). ' SEGUE MODELO PARA FAZER RELAÇÃO DE PAGAMENTOS EFETUADOS, CO F S , CONFORME MANUAL DE ORIENTAÇÕES PARA APLICAÇÃO DOS RECURSOS DO PRÊMIO ESCOLA NOTA 10, VERSÃO 2017 LOGOTIPO DA UNIDADE EXECUTORA RELAÇÃO DE PAGAMENTOS EFETUADOS RECURSOS: UNIDADE EXECUTORA: CONVÊNIO! 1. CONCEDENTE: SECRETARIA DA CONTRATO: EDUCAÇÃO PRÊMIO '",283,não examinado,identificado,,,pendente
D09-a14cd4,COMUM A TODAS AS LICITAÇÕES/OBJETO,"UTOR: Unidade Executora à ERECUT ESCOLA NOTA ITEM CREDOR CNPJ/CPF Nat, Desp. | CH/OB// DATA Nota Fiscal Data Valor (R$) PIX",,não examinado,identificado,,,pendente
D10-2213dc,COMUM A TODAS AS LICITAÇÕES/OBJETO,0 Nome da Empresa 00.0000.00/0000-00 C/s/P 000000 00/00/0000 TOTAL LOCAL E DATA RESPONSÁVEL PELA UNIDADE EXECUTORA UNIDADE EXECUTORA: ASSINATURA,,não examinado,identificado,,,pendente
D11-311674,COMUM A TODAS AS LICITAÇÕES/OBJETO,"AUSÊNCIA DO CARIMBO COM A IDENTIFICAÇÃO DO ORDENADOR DE DESPESA, OU PRESIDENTE DA UNIDADE EXECUTORA, NO TERMO DE DOAÇÃO DE BENS (PAG. 284, 285)",284,não examinado,identificado,,,pendente
D12-1c1b95,COMUM A TODAS AS LICITAÇÕES/OBJETO,AUSÊNCIA DA CONCILIAÇÃO BANCÁRIA,,não examinado,identificado,,,pendente
D13-784ed2,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,"AUSÊNCIA NO MAPA COMPARATIVO DE PREÇO, DA ASSINATURA DO ORDENADOR DE DESPESA (PAG. 27) OU UTILIZAR O MODELO DISPOSTO NO MANUAL MAIS PAIC (PAG.93) VERSÃO 2017",27,não examinado,identificado,,,pendente
D14-7e10ef,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,AUSÊNCIA NO CARIMBO DE “PAGO COM RECURSO” DO NÚMERO DO CONVÊNIO E ANO. NA NOTA FISCAL (PAG. 35) E NO RECIBO (PAG. 36),35,não examinado,identificado,,,pendente
D15-314235,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,"ACERTIDÃO NEGATIVA DE DÉBITOS MUNICIPAIS DA EMPRESA E. GONÇALVES DA SILVA FILHO - ME, (PAG. 42) É UMA CÓPIA E ESTÁ EM DESACORDO COM O ARTIGO 32 DA LEI 8666/93,- SUBSTITUIR POR CERTIDÃO ORIGINAL OU COMO ABAIXO SE APLICA: = Art. 32. OS documentos necessários à habilitação poderão ser apresentados em original, por qualquer processo de cópia autenticada por cartório competente ou por servidor da administração ou publicação em órgão da imprensa oficial.",42,não examinado,identificado,,,pendente
D16-e25b8d,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,"AUSÊNCIA NOS RECIBOS DE PAGAMENTO DOS PROFISSIONAIS BONIFICADOS (PAGS. 52-59) DOS CARIMBOS “PAGO COM RECURSO DO........ CONVÊNIO........... ANO ............. "", E “CHEQUE",,não examinado,identificado,,,pendente
D17-4cd9af,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,"AUSÊNCIA DA DECLARAÇÃO DE LOTAÇÃO DOS SEGUINTES BONIFICADOS: ANTÔNIO ALBERTO VIEIRA GOMES, ELEM PATRÍCIA EVANGELISTA, ANTONISA ALVES DE SOUZA, LUZIA BONFIM TORRES, MARIA LÚCIA RODRIGUES VIANA, LUSIANE RODRIGUES DE ARAÚJO, EDILSON ALVES MARTINS PINTO.",,não examinado,identificado,,,pendente
D18-0e2b7a,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,"AUSÊNCIA DO CADASTRO NACIONAL DE PESSOA JURÍDICA CARTA CONVITE Nº 2018001 PROCESSO:05158910 DATA:10/06/2019 UNIDADE EXECUTORA: CONSELHO ESCOLAR DA ESCOLA DE CIDADANIA AIRAM VERAS MUNICÍPIO: CRATEUS ENDEREÇO: RUA CAPISTRANO DE ABREU, SIN - BAIRRO MARATOAN CREDOR: 825943 RECURSO: ESCOLA NOTA 10 CNPJ: 03.191.642/0001-03 NE: 18984 DATA: 11/06/2018 VALOR: 24.500,00 OBJETO DA AÇÃO: AQUISIÇÃO DE EQUIPAMENTOS. VALOR ESTIMADO DAAÇÃO/OBJETOS: R$ 10.312,76 DATA DA LICITAÇÃO: 29 | 6 | 20108 |",,não examinado,identificado,,,pendente
D19-740b40,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,| O PRAZO DA PROPOSTA COMERCIAL DA EMPRESA ELIZABETH B. A. COSTA-ME (PAG. 94) ESTÁ DESCRITA PARA 30 DIAS EM DESACORDO COM O ARTIGO 64 PARÁGRAFO 3º DA LEI 8666/93 QUE INFORMA QUE TAL PRAZO SÃO 60 DIAS.,94,não examinado,identificado,,,pendente
D20-7622fe,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,"AUSÊNCIA DO NÚMERO DA LICITAÇÃO, (CARTA CONVITE), NA PROPOSTA COMERCIAL DA EMPRESA ELIZABETH B. A. COSTAM. E, (PAG. 94)",94,não examinado,identificado,,,pendente
D21-65adf8,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,"AUSÊNCIA NA ATA DA LICITAÇÃO (PAG. 96), DOS VALORES DOS ITENS OFERTADOS POR CADA EMPRESA E, DEPOIS, ANUNCIAR AS EMPRESAS VENCEDORAS DOS ITENS E SEUS VALORES. |",96,não examinado,identificado,,,pendente
D22-b08c45,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,"AATA DA LICITAÇÃO (PAG. 96), DEVE SER ASSINADA SOMENTE PELOS MEMBROS DA COMISSÃO E OS REPRESENTANTES LEGAIS DAS EMPRESAS PARTICIPANTES DO CERTAME",96,não examinado,identificado,,,pendente
