id,bloco,demanda,pagina,estado_documental,estado_tramitacao,providencia,documento,status
D23-0a4992,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,"A HOMOLOGAÇÃO DEVE OBEDECER AO DISPOSTO NO ARTIGO 109-IIl-8 6º DA LEI 8666/1993, QUANTO AO PRAZO DE APRESENTAÇÃO DE RECURSOS — 2 DIAS ÚTEIS, .",,não examinado,identificado,,,pendente
D24-cea408,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,A ASSINATURA NA DECLARAÇÃO (PAG. 98) DEVE SER SOB CARIMBO COM IDENTIFICAÇÃO DA NOMENCLATURA DO ORDENADOR DE DESPESA,98,não examinado,identificado,,,pendente
D25-7c143e,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,"REFAZER O MAPA COMPARATIVO DE PREÇOS (PAG. 100) CONFORME MODELO ABAIXO: L INSERIR LOGOTIPO DA UNIDADE EXECUTORA MAPA COMPARATIVO DE PREÇOS MODALIDADE DE LICITAÇÃO: DATA: ITEM ESPECIFICAÇÃO UNID QTDE | PREÇOS UNITÁRIOS DOS | ESCOLHID PREÇO TOTAL FORNECEDORES (6) A B Cc TEIXEIRA LIRA, IVONE MARINS ARAÚJO, LUZIA RODRIGUES ARAÚJO, ANA PAULA MARTINS SILVA TOTAL GERAL... res erenieninceeeoe ooo mae artan neo eneceraniia ter ceara nene nteresteonnentanneventenenitnieem CÓDIGO DO FORNECEDOR FORNECEDOR ITENS GANHO Valor total por fornecedor A FULANO DE TAL B FULANO DE TAL c FULANO DE TAL MOTIVO DA ESCOLHA TOTAL ( ) MENOR PREÇO POR ( ) PRAZO DE ( ) TIPO DE MATERIAL Data GRUPO OU ITEM ENTREGA / / João Joana Joaquim homologação secretário membro presidente comissão de licitação Carimbo Presidente da UEX",100,não examinado,identificado,,,pendente
D26-47bafd,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,"AUSÊNCIA NAS NOTAS FISCAIS (PAG. 102, 105) DO CONVÊNIO E ANO",102,não examinado,identificado,,,pendente
D27-5556b7,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,AUSÊNCIA NO RECIBO DE PAGAMENTO (PAG. 103) DO CONVÊNIO E ANO,103,não examinado,identificado,,,pendente
D28-9c53de,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,"AUSÊNCIA NO RECIBO DE PAGAMENTO (PAG. 106) DOS CARIMBOS DE “PAGO COM RECURSO , CONVÊNIO ANO ""E DE “PAGO COM CHEQUE Nº , DATA """,106,não examinado,identificado,,,pendente
D29-b7f6c5,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,"AUSÊNCIA NA RELAÇÃO DE BENS, DO CARIMBO IDENTIFICADOR DO ORDENADOR DE DESPESA (PAG, 107)",,não examinado,identificado,,,pendente
D30-7217e7,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,"AUSÊNCIA NO TERMO DE DOAÇÃO DE BENS (PAG. 108), DO CARIMBO IDENTIFICADOR DO ORDENADOR DE DESPESA E O NÚMERO DO TOMBAMENTO .",108,não examinado,identificado,,,pendente
D31-4e8b0c,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018005,"AUSÊNCIA DO CADASTRO NACIONAL DE PESSOA JURÍDICA — CNPJ — PARA ANÁLISE DE COMPATIBILIZAÇÃO COM OBJETO DE HABILITAÇÃO COMO DISPÕE O ITEM 2.1 DO EDITAL DE CARTA CONVITE (PAG. 82) DAS EMPRESAS MARIA DA PIEDADE BURGOS DE MACEDO ALVES E ELIZABETH B. A. COSTA - ME OBSERVAÇÃO: ESTA CARTA CONVITE, PELO VALOR, SE ENCAIXA EM UMA DISPENSA DE LICITAÇÃO.",82,não examinado,identificado,,,pendente
D32-c38889,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018001,AUSÊNCIA DO VALOR TOTAL DA PROPOSTA DE PREÇOS DA EMPRESA ELIZABETH B. A. COSTA - ME (PAG. 135),135,não examinado,identificado,,,pendente
D33-971755,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018001,O PRAZO DA PROPOSTA COMERCIAL DA EMPRESA ELIZABETH B. A. COSTA - ME (PAG.135) ESTÁ DESCRITA PARA 30 DIAS EM DESACORDO COM O ARTIGO 64 PARÁGRAFO 3º DA LE! 8666/93 QUE INFORMA QUE TAL PRAZO SÃO 60 DIAS.,135,não examinado,identificado,,,pendente
D34-92fd4d,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018001,| REFAZER O MAPA COMPARATIVO DE PREÇOS (PAG. 138) CONFORME MODELO ABAIXO: INSERIR LOGOTIPO DA UNIDADE EXECUTORA MAPA COMPARATIVO DE PREÇOS MODALIDADE DE LICITAÇÃO: DATA: ITEM ESPECIFICAÇÃO UNID | QTDE | PREÇOS UNITÁRIOS DOS | ESCOLHID PREÇO TOTAL FORNECEDORES (6) A B c TOTAL GERAL..........ccseterreeerreranerenarenana care n rena na ce Ra NR Ea NM ORM RASTA DCI SUAR a RIM r a nas s aa ea ana asa ancas na asa aaa sas CÓDIGO DO FORNECEDOR FORNECEDOR ITENS GANHO Valor total por fornecedor A FULANO DE TAL B FULANO DE TAL c FULANO DE TAL MOTIVO. DA ESCOLHA TOTAL | ( ) MENOR PREÇO POR ( ) PRAZO DE ( ) TIPO DE MATERIAL — | Data GRUPO OU ITEM ENTREGA 1 João Joana Joaquim homologação secretário membro presidente comissão de licitação Carimbo Fresidente da,138,não examinado,identificado,,,pendente
D35-bbffc4,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018001,"AUSÊNCIA NAATA DA LICITAÇÃO (PAG. 139), DO VALOR GLOBAL OFERTADO POR CADA EMPRESA E, DEPOIS, ANUNCIAR A EMPRESA VENCEDORA COM SEU RESPECTIVO VALOR. .",139,não examinado,identificado,,,pendente
D36-f4a53c,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018001,"AATA DALICITAÇÃO (PAG. 139), DEVE SER ASSINADA SOMENTE PELOS MEMBROS DA COMISSÃO E OS REPRESENTANTES LEGAIS DAS EMPRESAS PARTICIPANTES DO CERTAME",139,não examinado,identificado,,,pendente
D37-792858,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018001,"AUSÊNCIA DO NÚMERO DA DISPENSA DE LICITAÇÃO, NA PROPOSTA COMERCIAL DA EMPRESA ELIZABETH B. A. COSTA M. E. (PAG. 135)",135,não examinado,identificado,,,pendente
D38-52f48d,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018001,"A ASSINATURA NA DECLARAÇÃO (PAG, 141) DEVE SER SOB CARIMBO COM IDENTIFICAÇÃO DA NOMENCLATURA DO ORDENADOR DE DESPESA",,não examinado,identificado,,,pendente
D39-3d6e9a,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018001,AUSÊNCIA NA NOTA FISCAL (PAG. 143) DO NÚMERO DO CONVÊNIO E ANO,143,não examinado,identificado,,,pendente
D40-a07c27,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018001,AUSÊNCIA NO CARIMBO DE “PAGO COM O CHEQUE Nº DA DATA DO CHEQUE (PAG. 143) AUSÊNCIA NO RECIBO DE PAGAMENTO (PAG. 144 DO NÚMERO DO CONVÊNIO E ANO,144,não examinado,identificado,,,pendente
D41-197153,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018001,"AUSÊNCIA NO RECIBO DE PAGAMENTO (PAG. 144) DO CARIMBO DE “PAGO COM RECURSO, xxxxxxxxxxxx , CONVÊNIO ANO ”",144,não examinado,identificado,,,pendente
D42-98103b,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018001,"AUSÊNCIA DO CADASTRO NACIONAL DE PESSOA JURÍDICA - CNPJ, PARA HABILITAÇÃO DAS EMPRESAS CONCORRENTES.",,não examinado,identificado,,,pendente
D43-4e33f5,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018002,"AUSÊNCIA DE PROPOSTA COMERCIAL DE PREÇOS DA EMPRESA ELIZABETH B. A. COSTA M.E. (PAG. 164), COM O RESPECTIVO VALOR TOTAL DOS ITENS",164,não examinado,identificado,,,pendente
D44-86b1e7,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018002,"AUSÊNCIA DO TÍTULO: “PROPOSTA DE COMERCIAL DE PREÇOS"" DA EMPRESA AURICÉLIO BARBOSA PRADO, PRAZO E VALIDADE (PAG. 165)",165,não examinado,identificado,,,pendente
D45-fe3a7e,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018002,"REFAZER O MAPA COMPARATIVO DE PREÇOS (PAG. 166) CONFORME MODELO ABAIXO: INSERIR LOGOTIPO DA UNIDADE EXECUTORA MAPA COMPARATIVO DE PREÇOS [MODALIDADE DE LICITAÇÃO: | DATA: ITEM ESPECIFICAÇÃO UNID | QTDE | PREÇOS UNITÁRIOS DOS | ESCOLHIDO | PREÇO | TOTAL FORNECEDORES A B c TOTAL GERAL.........cretteicereree ceras eraaaa ca cenacarea aaa canas rea Re acena Rena na aee onea a nana eranacananirea tina ceara ê FORNECEDOR ITENS GANHO Valor total por CÓDIGO DO FORNECEDOR or ota p A FULANO DE TAL B FULANO DE TAL c FULANO DE TAL MOTIVO DA ESCOLHA TOTAL ) MENOR PREÇO POR ( ) PRAZO DE ( ) TIPO DE MATERIAL Data GRUPO OU ITEM | ENTREGA — / João Joana Joaquim homologação secretário membro presidente comissão de licitação Carimbo Presidente da UEX AUSÊNCIA NA ATA DA LICITAÇÃO (PAG. 167), DO VALOR GLOBA OFERTADO POR CADA EMPRESA E, DEPOIS, ANUNCIAR A EMPRESA VENCEDORA COM SEU RESPECTIVO VALOR. AATA DA LICITAÇÃO (PAG. 139), DEVE SER ASSINADA: SOMENTE PELOS MEMBROS DA COMISSÃO E OS REPRESENTANTES LEGAIS DAS EMPRESAS PARTICIPANTES DO CERTAME AUSÊNCIA, DA MARCA DOS PRODUTOS, NA ORDEM DE COMPRA E SERVIÇO (PAG. 170) AUSÊNCIA NA NOTA FISCAL (PAG. 171) DO NÚMERO DO CONVÊNIO E ANO AUSÊNCIA NO CARIMBO DE “PAGO COM O CHEQUE Nº xxxxxxxxx. DA DATA DO CHEQUE (PAG. 172) AUSÊNCIA NO RECIBO DE PAGAMENTO (PAG. 172 DO NÚMERO DO CONVÊNIO E ANO, AUSÊNCIA NO RECIBO DE PAGAMENTO (PAG. 172) DO CARIMBO DE “PAGO COM RECURSO xxxxxxxxxxxx ., CONVÊNIO ANO ” CERTIDÃO DE DÉBITOS ESTADUAIS SEM À DATA DE EMISSÃO DA EMPRESA ELIZABETH B, A. COSTA - M. E. — PROVIDENCIAR OUTRA CERTIDÃO VÁLIDA. (PAG. 180) AUSÊNCIA DO CADASTRO NACIONAL DE PESSOA JURÍDICA — CNPJ, PARA HABILITAÇÃO DAS EMPRESAS CONCORRENTES.",180,não examinado,identificado,,,pendente
D46-497a3a,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018003,"AUSÊNCIA DA PROPOSTA DE COMERCIAL DE PREÇO COM PRAZO DE VALIDADE DE 60 DIAS, NÚMERO DA DISPENSA, DATA E TOTAL, MARCA DOS PRODUTOS, CARIMBO E ASSINATURA. DA EMPRESA ELIZABETH B. A. COSTAM. E. “ AUSÊNCIA DA PROPOSTA DE COMERCIAL DE PREÇO COM PRAZO DE VALIDADE DE 60 DIAS, NUMERO DA DISPENSA, DATA E TOTAL, MARCA DOS PRODUTOS, CARIMBO E ASSINATURA. DA EMPRESA AURICÉLIO BARBOSA PRADO",,não examinado,identificado,,,pendente
D47-5846c3,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018003,REFAZER O MAPA COMPARATIVO DE PREÇOS (PAG. 166) CONFORME MODELO ABAIXO: INSERIR LOGOTIPO DA UNIDADE EXECUTORA MAPA COMPARATIVO DE PREÇOS MODALIDADE DE LICITAÇÃO: DATA: ITEM ESPECIFICAÇÃO UNID | QTDE | PREÇOS UNITÁRIOS DOS | ESCOLHIDO | PREÇO TOTAL FORNECEDORES A B c TOTAL GERAL.......... iss iara teatro eter terrestre CÓDIGO DO FORNECEDOR FORNECEDOR ITENS GANHO Valor total por fornecedor A FULANO DE TAL B FULANO DE TAL,166,não examinado,identificado,,,pendente
D48-6e2d8f,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018003,. c FULANO DE TAL MOTIVO DA ESCOLHA TOTAL | 4 ) MENOR PREÇO POR ( ) PRAZO DE ( ) TIPO DE MATERIAL Data GRUPO OU ITEM ENTREGA / / João Joana Joaquim homologação secretário membro presidente comissão de licitação Carimbo Presidente da UEX,,não examinado,identificado,,,pendente
D49-44fcc4,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018003,"AATA DA LICITAÇÃO (PAG. 195), DEVE SER ASSINADA SOMENTE PELOS MEMBROS DA COMISSÃO E OS REPRESENTANTES LEGAIS DAS EMPRESAS PARTICIPANTES DO CERTAME",195,não examinado,identificado,,,pendente
D50-828069,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018003,"AUSÊNCIA NA ATA DA LICITAÇÃO (PAG. 195), DO VALOR GLOBA OFERTADO POR CADA EMPRESA E, DEPOIS, ANUNCIAR A EMPRESA VENCEDORA COM SEU RESPECTIVO VALOR.",195,não examinado,identificado,,,pendente
D51-82c711,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018003,AUSÊNCIA NA NOTA FISCAL (PAG. 199) DO NÚMERO DO CONVÊNIO E ANO,199,não examinado,identificado,,,pendente
D52-3b54aa,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018003,"AUSÊNCIA NO CARIMBO DE “PAGO COM O CHEQUE Nº x»ooo00wx. DA DATA DO CHEQUE (PAG. 199) AUSÊNCIA NO RECIBO DE PAGAMENTO (PAG. 200 DO NÚMERO DO CONVÊNIO E ANO, AUSÊNCIA NO RECIBO DE PAGAMENTO (PAG. 200) DO CARIMBO DE “PAGO COM RECURSO xxxxxxxxxxxx, CONVÊNIO ANO "" CERTIDÃO DE DÉBITOS ESTADUAIS, SEM A DATA DE EMISSÃO E, TAMBÉM VENCIDA, DA EMPRESA ELIZABETH 8. A. COSTA- M. E. - PROVIDENCIAR OUTRA CERTIDÃO VÁLIDA. (PAG. 201) CERTIDÃO NEGATIVA DE DÉBITOS RELATIVOS ÃOS TRIBUTOS FEDERAIS, VENCIDA PARA O VÁLIDA E (PAG. 203), DA EMPRESA ELIZABETH B. A, COSTA -ME — SUBSTITUIR POR CERTIDÃO A CERTIDÃO NEGATIVA DE DÉBITOS DA PREFEITURA MUNICIPAL DE VENCIDA PARA O CERTAME (PAG. 204), DA EMPRESA ELIZABETH B.A. C POR CERTIDÃO VÁLIDA CERTIFICADO DE REGULARIDADE DO FGTS, VENCIDA PARA O CERTAME (PAG. 20205), DA EMPRESA ELIZABETH B. A. COSTA -ME — SUBSTITUIR POR CERTIDÃO VÁLIDA CRATEUS, (PAG. 204), OSTA -ME — SUBSTITUIR CERTIDÃO NEGATIVA DE DÉBITOS RELATIVOS AOS TRIBUTOS FEDERAIS, VENCIDA PARA O CERTAME (PAG. 206), DA EMPRESA AURICÉLIO BARBOSA PRADO - M. E - SUBSTITUIR POR CERTIDÃO VÁLIDA CERTIDÃO DE DÉBITOS ESTADUAIS, DA EMPRESA AURICÉLIO BARBOSA PRADO - M. E. VENCIDA PARA O CERTAME PROVIDENCIAR OUTRA CERTIDÃO VÁLIDA, (PAG, 207) CERTIDÃO NEGATIVA DE DÉBITOS DA PREFEITURA MUNICIPAL DE CRATEÚS, (PAG. 209), VENCIDA PARA O CERTAME DA EMPRESA AURICÉLIO BARBOSA PRADO --ME - SUBSTITUIR POR CERTIDÃO VÁLIDA CERTIFICADO DE REGULARIDADE DO FGTS, VENCIDA PARA O CERTAME (PAG. 208), DA EMPRESA AURICÉLIO BARBOSA PRADO - M. E, - SUBSTITUIR POR CERTIDÃO VÁLIDA CERTIDÃO NEGATIVA DE DÉBITOS TRABALHISTAS DA EMPRESA AURICÉLIO BARBOSA PRADO - M. E, VENCIDA PARA O CERTAME (PAG. 210) CERTIFICADO DE REGULARIDADE DO FGTS, VENCIDA PARA O CERTAME (PAG. 212), DA EMPRESA MARIA DA PIEDADE BURGOS DE MACEDO ALVES - M. E. — SUBSTITUIR POR CERTIDÃO VÁLIDA CERTIDÃO NEGATIVA DE DÉBITOS DA PREFEITURA MUNICIPAL DE CRATEÚS, (PAG. 213), VENCIDA PARA O CERTAME — SUBSTITUIR POR CERTIDÃO VÁLIDA CERTIDÃO NEGATIVA DE DÉBITOS TRABALHISTAS DA EMPRESA MARIA DA PIEDADE BIRGOS DE MACEDO ALVES - M. E, VENCIDA PARA O CERTAME (PAG. 214) CERTIDÃO DE DÉBITOS ESTADUAIS, DA EMPRESA MARIA DA PIEDADE BURGOS E MACEDO ALVES — ME, VENCIDA PARA O CERTAME PROVIDENCIAR OUTRA CERTIDÃO VÁLIDA. (PAG. 22015) AUSÊNCIA DO CADASTRO NACIONAL DE PESSOA JURÍDICA — CNPJ, PARA HABILITAÇÃO DAS EMPRESAS CONCORRENTES. A",22015,não examinado,identificado,,,pendente
D53-85712f,DISPENSA DE LICITAÇÃO EM FUNÇÃO DO VALOR Nº 2018004,"AUSÊNCIA DA DENOMINAÇÃO: PESQUISA DE PREÇOS, NO DOCUMENTO LICITAÇÃO"" 20140004"" (PAG. 221) , DISPENSA DE",221,não examinado,identificado,,,pendente
