nivel,acuracia,f1,erro_geometrico_relativo,alinhamento,posto_efetivo,tempo_s,erro_1q,erro_2q,erro_leitura
0 · statevector exato,0.625,0.5,0.0,0.10887550168885297,8.625285739068584,0.054598397999995996,,,
1 · 2048 shots,0.625,0.5,0.011090759199939307,0.10977459560309243,8.927015100292106,23.27079132,,,
2 · Aer com ruído,0.625,0.5,0.054815019941903395,0.10979837013065816,10.342916641199919,8.594804325000041,0.001,0.01,0.02
